name,team,apps,mins,tackles,ints,pos won,blocks,clearances,Ground Duels -total,Ground Duels %,Aerial Duels -total,Aerial Duels %,team_poss,tackles_padj,ints_padj,pos won_padj,blocks_padj,clearances_padj,Ground Duels -total_padj,Aerial Duels -total_padj,tackles_padj_z,ints_padj_z,pos won_padj_z,blocks_padj_z,clearances_padj_z,Ground Duels -total_padj_z,Ground Duels %_z,Aerial Duels -total_padj_z,Aerial Duels %_z,Cluster,Cluster_Name,Cluster_0_%,Cluster_1_%,Cluster_2_%,Cluster_3_%,Max_Percentage
Pietro Comuzzo,Fiorentina,27,1696,1.7,1.27,3.29,0.74,5.41,3.87,50.7,3.4,50.0,51.1,1.738241308793456,1.2985685071574642,3.3640081799591,0.7566462167689162,5.531697341513293,3.9570552147239266,3.476482617586912,0.3933903484014953,0.41385981138371863,-0.18549908394778133,0.4632898860167091,0.6412851650411211,-0.3160559483906164,-0.6228147387453954,-0.1520046150607176,-0.9472746979586723,3,Coverage Defender,24.7,19.7,22.8,32.9,32.9
Sam Beukema,Napoli,24,1680,1.02,0.75,3.91,0.59,3.11,3.0,44.6,3.27,52.5,59.0,1.2439024390243902,0.9146341463414633,4.7682926829268295,0.7195121951219512,3.792682926829268,3.6585365853658534,3.9878048780487805,-0.5419000763918491,-0.6203212065294235,1.0097834896747775,0.29665345035196294,-0.7749412658469077,-0.5506061241889598,-1.5547551108024598,0.26075359365640777,-0.6403391999666768,0,Ground Specialist,33.0,21.1,19.2,26.8,33.0
Juan Jesus,Napoli,24,1678,2.15,1.45,4.67,0.59,3.27,4.72,47.7,3.7,50.7,59.0,2.621951219512195,1.7682926829268293,5.695121951219512,0.7195121951219512,3.9878048780487805,5.7560975609756095,4.51219512195122,2.0653717933894957,1.6791277212501707,1.798671261897846,0.29665345035196294,-0.6160369679698094,1.0974762639519786,-1.081146069265263,0.6840607611292169,-0.8613327585209132,1,Aggressor,23.5,39.9,18.9,17.6,39.9
Mariano Troilo,Parma,21,1628,1.55,1.0,3.48,0.88,6.58,4.98,55.6,3.43,62.9,44.2,1.388888888888889,0.8960573476702509,3.118279569892473,0.7885304659498208,5.896057347670251,4.46236559139785,3.0734767025089607,-0.267585336896663,-0.6703604177074225,-0.3946555083278928,0.6063683192622176,0.9380143161745623,0.08097333563249313,0.1257931011037214,-0.47732587030926793,0.6365124716800247,3,Coverage Defender,13.8,12.9,27.6,45.7,45.7
Gabriele Zappa,Cagliari,31,1594,1.58,0.96,2.88,0.11,2.54,4.57,46.9,1.36,45.8,45.6,1.4522058823529413,0.8823529411764707,2.6470588235294117,0.10110294117647059,2.334558823529412,4.200367647058824,1.2500000000000002,-0.14778942090629016,-0.7072751575799119,-0.7957437103744595,-2.4784166683458357,-1.96241497346616,-0.12488203773454641,-1.203367757403895,-1.9493035946609303,-1.4629263345852253,0,Ground Specialist,41.2,19.7,16.0,23.1,41.2
Arturo Calabresi,Pisa,26,1516,1.13,1.13,3.38,0.71,4.1,6.23,40.0,2.43,46.3,40.2,0.9448160535117056,0.9448160535117056,2.8260869565217392,0.5936454849498327,3.4280936454849495,5.209030100334449,2.0317725752508364,-1.107772294141475,-0.5390220088917311,-0.6433606233990785,-0.2681649835717891,-1.0718571351452735,0.6676378671227342,-2.25752981759959,-1.318227905733882,-1.401539234986826,0,Ground Specialist,41.2,18.0,16.2,24.6,41.2
Nicolás Valentini,Hellas Verona,21,1406,1.98,0.96,3.52,0.83,6.34,5.38,50.0,5.31,63.9,40.2,1.6555183946488294,0.802675585284281,2.94314381270903,0.6939799331103679,5.301003344481606,4.498327759197324,4.4397993311036785,0.2368783801101587,-0.921897284253025,-0.5437255280690222,0.18207913420281566,0.4534115434743653,0.10922930343455124,-0.7297587158666983,0.6256202056136032,0.7592866708768229,3,Coverage Defender,17.4,17.5,30.8,34.3,34.3
Francesco Acerbi,Inter,18,1379,0.65,1.17,2.94,1.04,5.94,2.74,57.1,4.24,69.2,59.8,0.808457711442786,1.4552238805970148,3.6567164179104474,1.2935323383084576,7.388059701492537,3.4079601990049753,5.273631840796019,-1.3657626312908373,0.8358330185250314,0.0636449144653741,2.8725304067921082,2.153077946808242,-0.7474874230152373,0.3549587663636552,1.2987205958837862,1.409989926619854,2,Aerial Stopper,15.7,18.6,42.0,23.7,42.0
Honest Ahanor,Atalanta,22,1374,2.36,1.51,3.08,0.66,3.21,7.27,62.2,3.93,55.0,55.2,2.633928571428571,1.6852678571428572,3.4375,0.7366071428571429,3.5825892857142856,8.113839285714285,4.386160714285714,2.088032974305737,1.4554887152001785,-0.12294517011262214,0.37336588364425877,-0.9460382763122319,2.9499862302938493,1.1341220282474302,0.5823211335648943,-0.33340370197468117,1,Aggressor,23.2,36.0,21.1,19.6,36.0
Armel Bella-Kotchap,Hellas Verona,19,1347,1.34,2.14,4.94,1.0,5.75,4.34,56.9,3.21,83.3,40.2,1.1204013377926423,1.7892976588628764,4.130434782608696,0.8361204013377926,4.8076923076923075,3.62876254180602,2.6839464882943145,-0.7755644805028358,1.7357075682547813,0.4668590102786957,0.8199249677168388,0.05166666830222809,-0.5739999980192249,0.3244033443289969,-0.7917690422439381,3.1411061352947085,2,Aerial Stopper,16.3,23.1,37.3,23.3,37.3
Martin Vitík,Bologna,19,1324,2.45,0.68,2.18,0.41,6.32,5.1,56.0,5.23,55.8,55.2,2.7343750000000004,0.7589285714285715,2.4330357142857144,0.4575892857142857,7.053571428571429,5.691964285714286,5.837053571428572,2.2780778778987605,-1.039735998203507,-0.9779134147975148,-0.8787080673844502,1.8806758730054012,1.0470858711667308,0.18690394517303688,1.7535354206444578,-0.23518434261724294,2,Aerial Stopper,19.4,27.9,29.9,22.9,29.9
Unai Núñez,Hellas Verona,17,1265,1.71,1.64,3.84,0.92,4.41,5.62,53.2,4.34,45.9,40.2,1.4297658862876255,1.37123745819398,3.210702341137124,0.7692307692307693,3.687290969899666,4.698996655518394,3.62876254180602,-0.19024595171094835,0.6096038171921512,-0.31598816731460677,0.5197622225337694,-0.8607708448005909,0.26689760377003796,-0.24087196331217242,-0.029078637444403806,-1.4506489146655452,0,Ground Specialist,40.0,19.0,15.7,25.3,40.0
Adrien Tamèze,Torino,24,1118,1.21,1.61,4.67,0.4,2.9,4.19,42.3,2.9,52.8,44.1,1.0822898032200357,1.4400715563506261,4.177101967799642,0.35778175313059035,2.59391771019678,3.747763864042934,2.59391771019678,-0.8476716028430059,0.7950181092275795,0.5065806429684183,-1.3265876867899966,-1.7511971093228322,-0.4804990292156221,-1.9061424642010254,-0.8644435961484833,-0.6035069402076376,0,Ground Specialist,38.8,22.2,16.7,22.4,38.8
Federico Gatti,Juventus,21,1089,0.99,1.07,3.8,0.5,5.21,3.22,48.7,3.55,62.8,57.6,1.1674528301886793,1.261792452830189,4.481132075471698,0.589622641509434,6.143867924528302,3.7971698113207553,4.186320754716982,-0.6865429347546562,0.3147983540601899,0.7653614589562097,-0.2862172241429402,1.1398274155005674,-0.44168009974239103,-0.9283689590919738,0.4210029393067661,0.6242350517603447,2,Aerial Stopper,18.8,23.0,32.1,26.1,32.1
Daniele Ghilardi,Hellas Verona,23,1086,2.49,1.66,4.56,0.5,4.64,7.54,54.9,3.65,56.8,40.2,2.0819397993311037,1.3879598662207357,3.812709030100334,0.4180602006688963,3.8795986622073575,6.304347826086956,3.051839464882943,1.043668784661139,0.6546479672346563,0.19642089438282695,-1.0560921896773467,-0.7041584358351821,1.5282440064539324,0.018849123982418555,-0.4947922474547391,-0.11241014342044471,1,Aggressor,28.5,39.5,15.1,16.9,39.5
Jamil Siebert,Lecce,21,1700,1.43,0.85,1.96,1.06,7.57,3.81,51.4,3.71,54.3,41.7,1.2264150943396226,0.7289879931389366,1.6809605488850774,0.9090909090909092,6.492281303602059,3.267581475128645,3.181818181818182,-0.5749861779285635,-1.120385142673601,-1.6180560193466038,1.1473752351892788,1.4235698802856684,-0.8577849090861844,-0.5158707616240936,-0.3898686278081415,-0.4193456414124403,3,Coverage Defender,18.9,14.8,25.1,41.3,41.3
Oliver Provstgaard,Lazio,26,1527,0.71,0.88,3.36,0.71,4.18,2.77,44.7,4.24,58.3,50.4,0.7157258064516129,0.8870967741935484,3.387096774193548,0.7157258064516129,4.213709677419354,2.7923387096774195,4.274193548387097,-1.5412116362448833,-0.6944969783932811,-0.165846802462402,0.2796622847285616,-0.43206359487318974,-1.2311896591454166,-1.5394773997851305,0.49193710297389087,0.07175115537475263,3,Coverage Defender,24.0,18.1,23.3,34.5,34.5
Enzo Ebosse,Torino,17,1331,0.81,0.68,2.23,1.01,3.99,3.92,41.4,2.3,47.1,44.1,0.7245080500894454,0.6082289803220036,1.994633273703041,0.9033989266547406,3.5688729874776386,3.506261180679785,2.0572450805008944,-1.5245956084854149,-1.445666470793783,-1.3510677124876538,1.1218328451393451,-0.9572086173586641,-0.6702509953170512,-2.0436418633569855,-1.297665558948795,-1.303319875629387,3,Coverage Defender,30.1,17.7,20.0,32.3,32.3
Andrias Edmundsson,Hellas Verona,15,1320,1.77,1.84,3.95,0.75,7.98,3.95,56.9,5.39,49.4,40.2,1.479933110367893,1.5384615384615385,3.3026755852842813,0.6270903010033445,6.672240802675586,3.3026755852842813,4.506688963210702,-0.09532943352848018,1.0600453176172033,-0.23770344955527634,-0.11808361098025383,1.570126111749458,-0.8302109860643907,0.3244033443289969,0.6796159864843667,-1.0209392174767513,2,Aerial Stopper,14.4,16.7,40.2,28.7,40.2
Juan Rodríguez,Cagliari,17,1315,2.53,1.23,2.81,0.96,5.54,4.72,66.7,2.19,50.0,45.6,2.3253676470588234,1.130514705882353,2.5827205882352944,0.8823529411764707,5.091911764705883,4.338235294117647,2.012867647058824,1.5042349044448187,-0.03881665887927882,-0.8505063822562365,1.027390394534549,0.2831305962584588,-0.016557539112510098,1.8216190240272316,-1.333488661816382,-0.9472746979586723,3,Coverage Defender,24.7,21.9,23.9,29.4,29.4
Sead Kolasinac,Atalanta,19,1219,1.99,0.81,5.32,0.37,2.36,5.83,53.2,2.21,43.3,55.2,2.220982142857143,0.9040178571428572,5.937500000000001,0.4129464285714286,2.633928571428571,6.506696428571429,2.466517857142857,1.306737259534423,-0.6489176695981106,2.004975794436445,-1.0790398995490433,-1.7186128830389162,1.6872320749283887,-0.24087196331217242,-0.9672854616480662,-1.7698618325772209,0,Ground Specialist,37.4,27.7,16.0,18.9,37.4
Victor Nelsson,Hellas Verona,38,3315,1.95,1.85,3.04,0.6,7.09,4.24,59.6,5.08,68.4,40.2,1.6304347826086956,1.5468227424749164,2.5418060200668897,0.5016722408026756,5.9280936454849495,3.545150501672241,4.247491638795987,0.1894201210189244,1.0825673926384556,-0.8853315692006446,-0.6808887581985096,0.9641041814050474,-0.6396951231590109,0.7369015417968782,0.47038233561015874,1.3117705672624158,2,Aerial Stopper,14.7,20.4,41.1,23.8,41.1
