name,team,apps,mins,tackles,ints,pos won,blocks,clearances,Ground Duels -total,Ground Duels %,Aerial Duels -total,Aerial Duels %,team_poss,tackles_padj,ints_padj,pos won_padj,blocks_padj,clearances_padj,Ground Duels -total_padj,Aerial Duels -total_padj,tackles_padj_z,ints_padj_z,pos won_padj_z,blocks_padj_z,clearances_padj_z,Ground Duels -total_padj_z,Ground Duels %_z,Aerial Duels -total_padj_z,Aerial Duels %_z,Cluster,Cluster_Name,Cluster_0_%,Cluster_1_%,Cluster_2_%,Cluster_3_%,Max_Percentage
Marin Pongracic,Fiorentina,35,2917,0.96,1.08,4.87,0.83,4.01,4.72,44.4,2.72,55.7,51.1,0.9815950920245399,1.1042944785276074,4.979550102249489,0.8486707566462167,4.100204498977505,4.826175869120655,2.78118609406953,-1.038186257805248,-0.10944451661520126,1.1895991262720653,0.8762438467977111,-0.524500455887488,0.3668240538292878,-1.585310532837118,-0.7132736419852386,-0.24746176253692206,0,Ground Specialist,32.5,21.8,19.5,26.1,32.5
Strahinja Pavlovic,Milan,34,2870,1.69,0.63,3.04,0.44,3.67,5.3,58.6,3.95,55.6,51.8,1.7531120331950205,0.6535269709543567,3.1535269709543563,0.4564315352697095,3.807053941908713,5.497925311203319,4.097510373443983,0.42152579757024344,-1.3236499834910538,-0.3646540348617126,-0.8839033949820798,-0.7632377335343833,0.8946267912053055,0.584124431623589,0.34931192030709257,-0.25973918245660205,0,Ground Specialist,34.7,23.3,16.8,25.2,34.7
Sebastian Walukiewicz,Sassuolo,34,2855,1.58,0.79,3.06,0.32,3.4,4.98,53.2,1.73,47.3,46.2,1.4684014869888475,0.7342007434944238,2.8438661710037176,0.29739776951672864,3.1598513011152414,4.628252788104089,1.6078066914498141,-0.11714729489508235,-1.106343868906629,-0.628227518107312,-1.5975567699750588,-1.2903095497842716,0.21131317818708162,-0.24087196331217242,-1.6604688216619554,-1.2787650357900278,0,Ground Specialist,45.9,17.1,14.2,22.8,45.9
Tarik Muharemovic,Sassuolo,32,2835,1.4,1.43,2.89,0.98,7.05,3.3,64.4,3.3,64.4,46.2,1.3011152416356877,1.328996282527881,2.6858736059479553,0.9107806691449813,6.552044609665427,3.066914498141264,3.066914498141264,-0.43365330533996715,0.49582128948255144,-0.7627057946773276,1.1549579202864173,1.472240192003338,-1.0154517013749034,1.4702316706286669,-0.48262312397782436,0.8206737704752228,2,Aerial Stopper,14.6,15.7,40.0,29.7,40.0
Manuel Akanji,Inter,33,2820,1.53,1.18,4.12,0.41,3.35,3.41,61.7,3.03,53.7,59.8,1.9029850746268655,1.4676616915422884,5.124378109452736,0.5099502487562189,4.166666666666666,4.241293532338308,3.76865671641791,0.7050859809953189,0.8693360057457007,1.3128721473847265,-0.6437417517983662,-0.4703746949158032,-0.09272600912203526,1.0577334731607857,0.0838491057573231,-0.4930101609305185,1,Aggressor,21.0,45.1,16.7,17.1,45.1
Adam Obert,Cagliari,35,2782,2.2,1.36,4.11,0.58,3.66,5.66,55.4,2.1,47.7,45.6,2.022058823529412,1.2500000000000002,3.7775735294117654,0.5330882352941176,3.3639705882352944,5.202205882352942,1.9301470588235297,0.9303738230070658,0.2830337293839893,0.16651466697677353,-0.5399115865178583,-1.1240779607689693,0.6622759855855902,0.09523767906906315,-1.400263775016393,-1.229655356111308,0,Ground Specialist,47.1,20.8,13.5,18.6,47.1
Jacobo Ramón,Como,32,2743,1.64,1.21,3.81,0.56,4.0,4.27,53.1,5.55,66.9,61.6,2.135416666666667,1.5755208333333335,4.960937500000001,0.7291666666666669,5.208333333333334,5.559895833333333,7.226562500000001,1.144847156473701,1.1598697230499428,1.173756667659466,0.3399772449501605,0.37794252031349806,0.9433178792327634,-0.25614967432950153,2.8751983340398857,1.1276092684672183,1,Aggressor,17.5,36.2,27.9,18.4,36.2
Evan Ndicka,Roma,31,2683,0.81,1.64,4.6,0.4,4.63,3.76,56.3,4.19,60.8,56.3,0.9267734553775743,1.8764302059496565,5.263157894736841,0.45766590389016015,5.297482837528603,4.302059496567505,4.7940503432494275,-1.141908936645696,1.970411297423623,1.4309971132093924,-0.8783642484505293,0.45054449708598177,-0.04498135873568401,0.2327370782250232,0.9115847029883704,0.37868665336674817,1,Aggressor,18.5,35.7,25.9,19.9,35.7
Alessio Romagnoli,Lazio,32,2667,0.78,1.08,3.44,0.67,4.52,2.13,57.1,3.58,61.3,50.4,0.7862903225806451,1.088709677419355,3.467741935483871,0.6754032258064516,4.556451612903225,2.1471774193548385,3.6088709677419355,-1.4077033885594628,-0.15142436296146417,-0.09720419070275436,0.0987174040637677,-0.15293986599129092,-1.7381017215143475,0.3549587663636552,-0.04513585050576998,0.44007375296514734,3,Coverage Defender,18.4,15.9,24.9,40.7,40.7
Alessandro Circati,Parma,31,2666,1.45,0.81,3.0,1.01,5.06,3.51,62.5,4.08,62.8,44.2,1.2992831541218637,0.7258064516129032,2.688172043010753,0.9050179211469535,4.534050179211469,3.1451612903225805,3.655913978494624,-0.43711961967180096,-1.1289550707387344,-0.7607494377126781,1.1290979745160672,-0.17118324696396361,-0.9539721250374077,1.1799551612994166,-0.0071609952092280766,0.6242350517603447,3,Coverage Defender,15.2,13.6,25.8,45.3,45.3
